logFC	AveExpr	t	P.Value	adj.P.Val	B
2:533704-534406	2.14955588136068	7.34924256187639	18.5458990486782	2.4239811067417e-14	6.76223812645508e-11	22.6235956537994
9:147649-148260	2.07415934224206	7.30757828113518	18.3375344269274	3.02155412263408e-14	6.76223812645508e-11	22.4240126945625
3:234094-234507	1.81005619948417	6.53358208837398	15.4607715177743	8.12203944384937e-13	1.0608722297841e-09	19.3821323864358
9:50952-51457	1.7016680232933	6.71026537961419	15.3357743967318	9.48053824650672e-13	1.0608722297841e-09	19.2366562538265
8:656265-656487	1.59589373041014	4.08457382905037	10.262180703281	1.47939462983737e-09	2.87903059267481e-07	12.1287754422374
5:0-214	-1.43922935367342	4.42182688980742	-4.33750227516357	0.000300290305383374	0.0049781459514666	-0.040232535276278
10:44687-45068	1.37948027811215	5.04465896220877	11.3815292349794	2.37576744543342e-10	7.08929005717333e-08	13.9256591387939
2:185641-186238	1.33556993133219	7.28531134103551	13.0269916627929	2.0301383548213e-11	1.81737985523603e-08	16.3156065266475
6:378240-378657	1.3265872794109	5.65878921700923	12.3894613771604	5.10947131379648e-11	2.80103522757688e-08	15.4229057135529
2:605411-605870	-1.31022981959189	6.83534457392537	-10.064966318811	2.07139536897496e-09	3.68108731252829e-07	11.7965516795921
2:379481-379729	1.29418382128015	5.45136472908971	12.5343965855197	4.12908234184028e-11	2.64025322315387e-08	15.6294171999847
4:19156-19621	1.26615208192712	6.16256045188381	11.9882829640346	9.30908983129124e-11	3.78795328044178e-08	14.8399825610608
2:336376-337740	1.2508816787842	7.59327652977718	12.0535241535421	8.43505871444195e-11	3.77553228058422e-08	14.9359273755292
2:452271-452918	1.24214674758187	7.51053379429666	9.77382540567042	3.43281120710385e-09	4.80164467593652e-07	11.2971617499968
2:109807-110307	1.2295776727347	6.68017675640463	9.81809262602665	3.17697145174367e-09	4.71123958236961e-07	11.3737875265534
10:437151-438674	1.21292703590758	7.32301080435728	9.97797392551535	2.40637607279143e-09	3.8467640363623e-07	11.6484595115578
3:387289-387781	1.2044823672791	5.82278217335914	11.2328481081952	3.00584716074063e-10	7.91421875969121e-08	13.6953910660463
2:457158-458645	1.20438216928976	7.57642500585604	11.0086025753301	4.30467915192501e-10	1.01409178336928e-07	13.3433260650473
2:553913-555588	1.20244343649653	8.42323227775762	11.3919639353709	2.33706598366903e-10	7.08929005717333e-08	13.9417261701579
