logFC	AveExpr	t	P.Value	adj.P.Val	B
2:533704-534406	1.76168910460203	7.34924256187639	15.1994691426323	1.12358908620607e-12	2.51459237492918e-09	18.9597168204012
9:147649-148260	1.75101276109039	7.30757828113518	15.4806123784953	7.92585049670615e-13	2.51459237492918e-09	19.2807935331022
9:50952-51457	1.57022115995873	6.71026537961419	14.1511488330713	4.33826181705456e-12	6.4726866310454e-09	17.7055499971826
4:19156-19621	1.46256931924698	6.16256045188381	13.8480164459877	6.51123833996035e-12	7.28607570241563e-09	17.3252892665898
2:109807-110307	1.40877444304401	6.68017675640463	11.2489664359493	2.92983841803402e-10	1.24911202124905e-07	13.6977528609918
3:234094-234507	1.37738829825172	6.53358208837398	11.7650964520298	1.3083998284264e-10	9.76066272006094e-08	14.474453469519
2:185641-186238	1.33767640548623	7.28531134103551	13.0475379633638	1.97181616219658e-11	1.76516982839838e-08	16.2805451594612
2:553913-555588	1.22751238371503	8.42323227775762	11.6294674502497	1.61292507261285e-10	1.03135037500216e-07	14.2732422731908
15:465168-465699	1.16778165458572	6.66256860697494	11.2982580324174	2.70956811522463e-10	1.24911202124905e-07	13.7732313608552
2:24267-24675	1.1617220389263	6.11912021331269	9.03373998813075	1.29802087606256e-08	2.42080893385667e-06	9.99881693321004
2:524160-525822	1.15730596211634	8.28206293301053	11.3590433293282	2.46145148448219e-10	1.24911202124905e-07	13.8659266341898
2:452271-452918	1.15093087392084	7.51053379429666	9.05609376476393	1.245672685484e-08	2.42080893385667e-06	10.0393181797952
2:381957-382794	1.1506529653006	8.48033669959604	11.2196204813638	3.06975697804725e-10	1.24911202124905e-07	13.6526837415998
2:336376-337740	1.15048160079232	7.59327652977718	11.0860667308154	3.80015537558822e-10	1.41745795509441e-07	13.4463149700059
2:106819-108281	1.10300958929848	7.65957665723865	10.7240051801394	6.84279978424297e-10	2.18774084530511e-07	12.8763109568458
2:457158-458645	1.09811032220453	7.57642500585604	10.0372294021475	2.17259281533847e-09	6.07782840090937e-07	11.75133650207
8:656265-656487	1.08206893975842	4.08457382905037	6.95809926539076	7.88673444636361e-07	6.30375417534349e-05	5.93470466935104
6:615791-616182	1.06585626270995	5.68272229629895	9.14589003030755	1.05648381529524e-08	2.25181978917215e-06	10.2013299554407
12:528903-530024	1.06126333086255	8.01876147254846	10.9844760802302	4.47568029194368e-10	1.54101115282615e-07	13.287943075562
2:182204-182471	1.05554283895735	5.52702727239183	8.0374897980329	8.67755516704694e-08	1.26651416818746e-05	8.12364903890733
4:617082-617731	1.05219261377948	7.17549095397426	9.79836759071869	3.2884328622488e-09	8.65825028907391e-07	11.3461597087747
2:96288-96835	1.03644145571539	6.45851670000805	7.82693873275011	1.31836756945101e-07	1.68600378310363e-05	7.7095342165398
5:748794-749331	1.01821907843562	7.0062568084981	10.4133953464199	1.14631815128264e-09	3.42061336342739e-07	12.3747471966649
2:78066-79162	1.00002006956655	8.7571784046533	8.01659588426745	9.04289334183765e-08	1.26651416818746e-05	8.0828344577338
18:198726-199966	0.958371162580429	7.17267476374683	7.97613791363467	9.79623818947189e-08	1.32872612533564e-05	8.00362783048091
6:736070-736912	0.937062865435982	7.16197970123802	8.45532284586242	3.85040585761209e-08	6.6286217764122e-06	8.92694650859682
12:298651-300123	0.928613531953493	8.03184738179457	8.01594009421675	9.0546142497763e-08	1.26651416818746e-05	8.08155242704549
2:405919-406473	0.921900044419036	6.35398898915394	7.86483925193193	1.22222291073303e-07	1.60902051424737e-05	7.78453978130264
2:379481-379729	0.907651831648841	5.45136472908971	8.7907666842925	2.03880625948635e-08	3.65027872698435e-06	9.55418501189632
9:149071-149957	0.906392822119233	6.91036768335942	9.39375146460438	6.7398960581387e-09	1.50838873781144e-06	10.6428821940998
2:128172-128667	0.890519315951925	5.87737875393408	9.51684758310297	5.4066196362122e-09	1.27368576272031e-06	10.8591215628292
2:157650-158483	0.890356345307564	6.28806475083139	7.0286991035117	6.79407407213797e-07	5.73778783903576e-05	6.08284583777832
3:314231-315374	0.885900120455385	7.70193810088013	9.58553291030334	4.78475429570312e-09	1.18980890153151e-06	10.9789075728623
7:219415-219639	0.884444460163138	4.90305355598366	7.06828972184237	6.25081925829304e-07	5.38051288463839e-05	6.16562033710338
10:437151-438674	0.851289078724527	7.32301080435728	7.00301005677024	7.17238404063147e-07	5.94510943812342e-05	6.02902098296454
2:310016-310434	0.82776809162092	5.92454130135927	7.24943965039939	4.28049043833994e-07	4.16510330478469e-05	6.54159809568906
10:44687-45068	0.826577105959909	5.04465896220877	6.81975063052152	1.05839933264033e-06	7.61061281407443e-05	5.64243537575732
9:207010-207449	0.824898499670663	5.6144415580433	8.27246446440639	5.47914695462917e-08	9.08320806256303e-06	8.57841488031955
9:137179-138475	0.819495221615278	7.12337642847396	8.0799684120107	7.98110439274474e-08	1.26651416818746e-05	8.20643763083508
13:149956-150569	0.814774575851181	7.04831477536861	9.07850595769756	1.19538250906267e-08	2.42080893385667e-06	10.0798570554759
3:387289-387781	0.813996802624636	5.82278217335914	7.59122980363264	2.12049993142683e-07	2.43368145976064e-05	7.23850792055573
2:760307-760801	0.797526821875238	6.78422637426849	8.04713532438594	8.51408268733117e-08	1.26651416818746e-05	8.14247000939394
