logFC	AveExpr	t	P.Value	adj.P.Val	B
14:502800-502858	-1.71446074947961	2.49877908520496	-1.66424147294879	0.120274856517646	0.313605551808973	-5.21889728831916
16:195393-195729	1.39772292502632	5.79968573047912	8.2575475705693	1.72327139623745e-06	0.000606591531475583	5.49176085579001
11:486774-486784	-1.33370355557206	2.30909036464968	-1.38855074387078	0.188598757111348	0.391556590363765	-5.59318182556625
10:461452-462575	1.22173761631643	7.40633744682534	8.66719026269294	1.01117122147825e-06	0.000533898404940518	5.99110636865947
16:413517-416214	1.20910492957741	9.21831660825948	8.76270007352464	8.95337441511073e-07	0.000533898404940518	6.10443473803035
9:60372-60588	-1.19871272775348	4.2100537791389	-1.59461668535102	0.135118064223576	0.328010749011714	-5.31772748324692
1:667413-667613	-1.19335806573463	3.74399690359993	-1.62643145133267	0.128148774164287	0.320640183461215	-5.27290762126764
8:710401-710584	-1.10730821236025	3.98438964092855	-1.51063976731075	0.155104644005453	0.35247332362148	-5.43317363009468
17:161311-161660	-1.10121332018243	4.57891177764906	-1.55828636428273	0.143475133890102	0.337697348095467	-5.36818955285753
3:51726-51741	1.08909410302646	2.33559469804227	3.6940864291335	0.00275591144117318	0.0435788588188522	-1.6788928520833
8:647816-647878	1.05804440456941	3.05883495252834	2.0503510132274	0.0613337188418228	0.220300704411445	-4.6263741322907
16:417731-419294	1.04209804343203	8.56090840542345	5.26852239971946	0.000158559682856354	0.0120210863749449	1.12514939418316
16:223700-224463	1.03784048410527	7.46017982340521	5.79295361950319	6.57386375676708e-05	0.00716222041909505	1.98815252990557
4:330173-330188	-1.00894449715152	2.30854189817172	-1.30031713728393	0.216359665647455	0.414491371913966	-5.70264424636304
11:367968-368022	0.952070752143512	3.24198370444354	3.26571332294948	0.0062338048663801	0.0634243225003558	-2.4728696501009
14:396910-397202	0.935100840257784	6.17599438374678	5.10700991813617	0.000209548990589692	0.0138302333789197	0.851237060403094
2:22192-22449	-0.934581202651462	6.91553592428995	-2.89227005278865	0.0127356160077878	0.0879007222498296	-3.16026914395005
14:309290-309524	-0.87908575038164	4.05108891276443	-1.38213702072645	0.190512828201382	0.392581956862619	-5.60131820879662
7:240867-241330	-0.864976506132614	5.01142668667625	-1.71450240342628	0.110466444506904	0.299109142049463	-5.14588772705002
9:94765-94986	0.832568241875247	4.17822639747253	3.1918897416623	0.00717973475286031	0.0653603439570731	-2.60946923523334
2:402714-403565	-0.800413083698271	6.60486492831438	-6.17950991357068	3.52085764425746e-05	0.0053114652461941	2.5976399937227
9:238154-240016	0.794563141467636	7.36852413446747	6.30773336374943	2.87533283022891e-05	0.00506058578120287	2.79476124967095
5:246424-246685	-0.792302002636554	4.23862737763126	-2.03370817866039	0.0631939521870844	0.223291181487802	-4.65327945764954
15:145908-146742	0.766967671571925	6.62619693731592	4.2562308712165	0.0009628083719336	0.0308098679018752	-0.64818853732182
5:589451-589740	0.758985811229659	4.74442850117742	2.76783625748725	0.0161447209631155	0.0985481233355491	-3.38631349622578
10:424163-424394	-0.748663050096997	4.04992884607877	-1.46231663734871	0.167708097405341	0.367426869004232	-5.49764937573821
15:66767-67143	0.743882759384765	5.28069479812384	2.77338079738504	0.0159752892437311	0.098080845589419	-3.37628669211498
14:55516-55528	-0.726432233775137	1.87466663482448	-1.14874341773106	0.271622358492573	0.470685496885367	-5.8776402592585
15:374168-375246	0.723496076544846	6.66831073422968	3.07389983024293	0.00899903550396431	0.0740137534788856	-2.82721268935557
10:525323-528839	-0.714577078477548	9.02950676452247	-4.71303004543447	0.00041980377199718	0.0177325113291609	0.167998017095078
17:52909-54964	0.701651950378261	7.92586883965618	3.67683517430927	0.00284748225236818	0.0435788588188522	-1.71081615903321
16:225146-227374	0.684979614318658	8.59696462085971	6.73413514022961	1.49003199748392e-05	0.00314694757868604	3.43224781064705
